Port landed,Week beginning,Species name,Live Weight (KG),Landed Weight (KG),Value in pounds
Burray,14/12/2008,Crabs (C.P.Mixed Sexes),590,590,700.04
Burray,14/12/2008,Crabs - Velvet (Swim),411,411,960.03
Burray,14/12/2008,Green Crab,395,395,211.89
Burray,14/12/2008,Lobsters,82.4,82.4,1002.12
Burray,21/12/2008,Crabs (C.P.Mixed Sexes),561,561,750.09
Burray,21/12/2008,Crabs - Velvet (Swim),333,333,1318.95
Burray,21/12/2008,Green Crab,365,365,182.5
Burray,21/12/2008,Lobsters,130.6,130.6,1881.63
Burray,21/12/2008,Scallops,43.5,43.5,160.95
Burray,28/12/2008,Crabs (C.P.Mixed Sexes),561,561,681.04
Burray,28/12/2008,Crabs - Velvet (Swim),282,282,644.02
Burray,28/12/2008,Green Crab,65,65,38
Burray,28/12/2008,Lobsters,110.3,110.3,1611.89
Burray,28/12/2008,Periwinkles,4529,4529,8192.81
Burray,28/12/2008,Scallops,192.5,192.5,361.38
Hoy,16/01/2000,Crabs (C.P.Mixed Sexes),2567,2567,2425.15
Hoy,16/01/2000,Crabs - Velvet (Swim),2587,2587,3223.01
Hoy,16/01/2000,Green Crab,3578,3578,1789
Hoy,16/01/2000,Lobsters,105.9,105.9,1641.45
Hoy,16/01/2000,Whelks,673,673,208.63
Hoy,20/02/2000,Crabs (C.P.Mixed Sexes),5115,5115,4473.2
Hoy,20/02/2000,Crabs - Velvet (Swim),1813.1,1813.1,2365.11
Hoy,20/02/2000,Green Crab,3952,3952,1935
Hoy,20/02/2000,Lobsters,90.2,90.2,1217.7
Hoy,20/02/2000,Whelks,1830,1830,567.3
Hoy,19/03/2000,Cod,343,293.3,378.27
Hoy,19/03/2000,Crabs (C.P.Mixed Sexes),6154,6154,5131.6
Hoy,19/03/2000,Crabs - Velvet (Swim),2085,2085,3517.3
Hoy,19/03/2000,Green Crab,2681,2681,1340.5
Hoy,19/03/2000,Haddock,19929.1,17180,17530.9
Hoy,19/03/2000,Hake,365.3,315,525
Hoy,19/03/2000,Lemon Sole,79.6,76.5,108
Hoy,19/03/2000,Ling,674.4,586.5,531
Hoy,19/03/2000,Lobsters,211.1,211.1,2868.85
Hoy,19/03/2000,Megrim,1630.2,1552.5,1374.74
Hoy,19/03/2000,Monks or Anglers,1751.1,1368,3576
Hoy,19/03/2000,Other or mixed Demersal,58.2,50.8,47
Hoy,19/03/2000,Plaice,177.3,165.9,97.5
Hoy,19/03/2000,Pollack,45.7,40.1,60
Hoy,19/03/2000,Saithe,1243.4,1045,451.02
Hoy,19/03/2000,Skates and Rays,118.6,104.8,87.99
Hoy,19/03/2000,Spurdog,104.8,76.5,45
Hoy,19/03/2000,Squid,80,80,10
Hoy,19/03/2000,Torsk (Tusk),216.2,191.2,150
Hoy,19/03/2000,Turbot,5.4,5,35.01
Hoy,19/03/2000,Whelks,3925,3925,1216.75
Hoy,19/03/2000,Whiting,6874.3,6083.3,4075.01
Hoy,19/03/2000,Witch,46.8,45.1,32.99
Hoy,16/04/2000,Crabs (C.P.Mixed Sexes),5427.8,5427.8,4746.92
Hoy,16/04/2000,Crabs - Velvet (Swim),2520.1,2520.1,4033.61
Hoy,16/04/2000,Green Crab,1650,1650,825
Hoy,16/04/2000,Lobsters,355.2,355.2,4240.4
Hoy,16/04/2000,Whelks,2080,2080,644.8
Hoy,14/05/2000,Crabs (C.P.Mixed Sexes),7137,7137,5984
Hoy,14/05/2000,Crabs - Velvet (Swim),2353.9,2353.9,3528.51
Hoy,14/05/2000,Green Crab,2544,2544,1272
Hoy,14/05/2000,Lobsters,573.9,573.9,5569.05
Hoy,14/05/2000,Whelks,1970,1970,610.7
Hoy,18/06/2000,Crabs (C.P.Mixed Sexes),8517,8517,7022.25
Hoy,18/06/2000,Crabs - Velvet (Swim),1394,1394,2228.8
Hoy,18/06/2000,Green Crab,1723,1723,861.5
Hoy,18/06/2000,Lobsters,334.1,334.1,3839.18
Hoy,16/07/2000,Crabs (C.P.Mixed Sexes),7029,7029,5766.65
Hoy,16/07/2000,Crabs - Velvet (Swim),661,661,958.45
Hoy,16/07/2000,Green Crab,1292,1292,516.8
Hoy,16/07/2000,Lobsters,346.6,346.6,2945.1
Hoy,20/08/2000,Cockles,3605,3605,2163
Hoy,20/08/2000,Crabs (C.P.Mixed Sexes),6325,6325,4960.6
Hoy,20/08/2000,Crabs - Velvet (Swim),1042,1042,1563
Hoy,20/08/2000,Green Crab,1671,1671,668.4
Hoy,20/08/2000,Lobsters,880,880,7943
Hoy,20/08/2000,Periwinkles,7856,7856,7820.1
Hoy,17/09/2000,Crabs (C.P.Mixed Sexes),11098,11098,8741.6
Hoy,17/09/2000,Crabs - Velvet (Swim),2417,2417,3383.8
Hoy,17/09/2000,Green Crab,2544,2544,1144.8
Hoy,17/09/2000,Lobsters,1900.8,1900.8,19009
Hoy,15/10/2000,Crabs (C.P.Mixed Sexes),4181,4181,3553.85
Hoy,15/10/2000,Crabs - Velvet (Swim),4929,4929,6900.6
Hoy,15/10/2000,Green Crab,3953,3953,1778.85
Hoy,15/10/2000,Lobsters,1274.6,1274.6,15932.5
Hoy,15/10/2000,Whelks,1066,1066,373.1
Hoy,19/11/2000,Crabs (C.P.Mixed Sexes),3410,3410,2898.5
Hoy,19/11/2000,Crabs - Velvet (Swim),5014,5014,6786.4
Hoy,19/11/2000,Green Crab,4026,4026,1811.7
Hoy,19/11/2000,Lobsters,489,489,8068.5
Hoy,19/11/2000,Whelks,1667,1667,589.05
Hoy,17/12/2000,Crabs (C.P.Mixed Sexes),5320.1,5320.1,6698.05
Hoy,17/12/2000,Crabs - Velvet (Swim),6215,6215,12430
Hoy,17/12/2000,Green Crab,3169,3169,1584.5
Hoy,17/12/2000,Lobsters,371.4,371.4,8293.74
Hoy,17/12/2000,Whelks,1702,1702,595.7
Hoy,14/01/2001,Crabs (C.P.Mixed Sexes),6480,6480,5343.1
Hoy,14/01/2001,Crabs - Velvet (Swim),1721,1721,3528.05
Hoy,14/01/2001,Green Crab,1640,1640,820
Hoy,14/01/2001,Lobsters,292.5,292.5,4589.21
Hoy,14/01/2001,Whelks,1628,1628,651.2
Hoy,18/02/2001,Crabs (C.P.Mixed Sexes),3779,3779,3453.6
Hoy,18/02/2001,Crabs - Velvet (Swim),2086,2086,3650.5
Hoy,18/02/2001,Green Crab,1786,1786,797
Hoy,18/02/2001,Lobsters,206.2,206.2,3070
Hoy,18/02/2001,Whelks,1196,1196,358.8
Hoy,18/03/2001,Crabs (C.P.Mixed Sexes),4331,4331,4649.8
Hoy,18/03/2001,Crabs - Velvet (Swim),1352,1352,2433.6
Hoy,18/03/2001,Green Crab,1368,1368,615.6
Hoy,18/03/2001,Lobsters,210.5,210.5,3099.12
Hoy,18/03/2001,Scallops,1205,1205,1822
Hoy,18/03/2001,Whelks,1433,1433,501.55
Hoy,15/04/2001,Crabs (C.P.Mixed Sexes),3147,3147,3465.5
Hoy,15/04/2001,Crabs - Velvet (Swim),1738,1738,3476
Hoy,15/04/2001,Green Crab,2185,2185,983.25
Hoy,15/04/2001,Lobsters,255.6,255.6,3834.25
Hoy,15/04/2001,Scallops,719,719,1104
Hoy,15/04/2001,Whelks,1554,1554,621.6
Hoy,20/05/2001,Crabs (C.P.Mixed Sexes),3868,3868,4058.9
Hoy,20/05/2001,Crabs - Velvet (Swim),2329,2329,4658
Hoy,20/05/2001,Green Crab,1695,1695,847.5
Hoy,20/05/2001,Lobsters,338.5,338.5,4399.85
Hoy,20/05/2001,Scallops,1260,1260,1802.01
Hoy,17/06/2001,Crabs (C.P.Mixed Sexes),6209,6209,5588.11
Hoy,17/06/2001,Crabs - Velvet (Swim),1886,1886,3206.2
Hoy,17/06/2001,Green Crab,1612,1612,806
Hoy,17/06/2001,Lobsters,303.5,303.5,2701.4
Hoy,15/07/2001,Crabs (C.P.Mixed Sexes),5991,5991,4939.4
Hoy,15/07/2001,Crabs - Velvet (Swim),1504,1504,2406.4
Hoy,15/07/2001,Green Crab,1512,1512,756
Hoy,15/07/2001,Lobsters,461.8,461.8,4861.19
Hoy,15/07/2001,Nephrops (Norway Lobster),886,886,4286
Hoy,19/08/2001,Crabs (C.P.Mixed Sexes),2592,2592,2073.6
Hoy,19/08/2001,Crabs - Velvet (Swim),1220,1220,1891
Hoy,19/08/2001,Green Crab,984,984,492
Hoy,19/08/2001,Lobsters,732.9,732.9,7329
Hoy,19/08/2001,Nephrops (Norway Lobster),241.9,241.9,1575.11
Hoy,16/09/2001,Crabs (C.P.Mixed Sexes),4581,4581,3666.2
Hoy,16/09/2001,Crabs - Velvet (Swim),1565,1565,2347.5
Hoy,16/09/2001,Green Crab,2385,2385,1192.5
Hoy,16/09/2001,Lobsters,1534.4,1534.4,16883.18
Hoy,14/10/2001,Crabs (C.P.Mixed Sexes),1979,1979,1781.1
Hoy,14/10/2001,Crabs - Velvet (Swim),2792,2792,4188
Hoy,14/10/2001,Green Crab,3182,3182,1591
Hoy,14/10/2001,Lobsters,952.4,952.4,12857.13
Hoy,14/10/2001,Nephrops (Norway Lobster),134,134,1430.04
Hoy,18/11/2001,Crabs (C.P.Mixed Sexes),2339,2339,1981.15
Hoy,18/11/2001,Crabs - Velvet (Swim),3626,3626,5439
Hoy,18/11/2001,Green Crab,3886,3886,1943
Hoy,18/11/2001,Lobsters,509.1,509.1,8148.92
Hoy,18/11/2001,Nephrops (Norway Lobster),38,38,371
Hoy,18/11/2001,Whelks,348,348,156.6
Hoy,16/12/2001,Crabs (C.P.Mixed Sexes),2156,2156,1940.4
Hoy,16/12/2001,Crabs - Velvet (Swim),6239,6239,11542.15
Hoy,16/12/2001,Green Crab,3295,3295,1647.5
Hoy,16/12/2001,Lobsters,418,418,7106
Hoy,20/01/2002,Crabs (C.P.Mixed Sexes),1048,1048,890.8
Hoy,20/01/2002,Crabs - Velvet (Swim),1781,1781,2938.65
Hoy,20/01/2002,Green Crab,2281,2281,1140.5
Hoy,20/01/2002,Lobsters,73.1,73.1,1242.7
Hoy,20/01/2002,Queen Scallops,4237,4237,3174.99
Hoy,17/02/2002,Crabs (C.P.Mixed Sexes),4461,4461,3791.85
Hoy,17/02/2002,Crabs - Velvet (Swim),1726,1726,2847.9
Hoy,17/02/2002,Green Crab,2218,2218,1109
Hoy,17/02/2002,Lobsters,185,185,2497.5
Hoy,17/02/2002,Queen Scallops,1425,1425,1208
Hoy,17/03/2002,Crabs (C.P.Mixed Sexes),4062,4062,5266.75
Hoy,17/03/2002,Crabs - Velvet (Swim),1521.9,1521.9,3118.96
Hoy,17/03/2002,Green Crab,2019,2019,1009.5
Hoy,17/03/2002,Lobsters,170,170,2643.01
Hoy,17/03/2002,Scallops,1215.1,1215.1,1982
Hoy,14/04/2002,Crabs (C.P.Mixed Sexes),3444,3444,3271.8
Hoy,14/04/2002,Crabs - Velvet (Swim),1811,1811,2988.15
Hoy,14/04/2002,Green Crab,1070,1070,535
Hoy,14/04/2002,Lobsters,197,197,2659.5
Hoy,14/04/2002,Scallops,2565,2565,3933
Hoy,19/05/2002,Crabs (C.P.Mixed Sexes),1606,1606,1445.4
Hoy,19/05/2002,Crabs - Velvet (Swim),1643,1643,2218.05
Hoy,19/05/2002,Green Crab,923,923,461.5
Hoy,19/05/2002,Lobsters,221,221,1989
Hoy,16/06/2002,Crabs (C.P.Mixed Sexes),3004,3004,2703.6
Hoy,16/06/2002,Crabs - Velvet (Swim),2078,2078,3532.6
Hoy,16/06/2002,Green Crab,886,886,443
Hoy,16/06/2002,Lobsters,315,315,2835
Hoy,16/06/2002,Nephrops (Norway Lobster),108,108,965.01
Hoy,07/07/2002,Crabs (C.P.Mixed Sexes),828.9,828.9,777.99
Hoy,07/07/2002,Crabs - Velvet (Swim),546,546,819
Hoy,07/07/2002,Green Crab,841,841,420.5
Hoy,07/07/2002,Lobsters,240.8,240.8,2287.79
Hoy,18/08/2002,Crabs (C.P.Mixed Sexes),2027,2027,1824.3
Hoy,18/08/2002,Crabs - Velvet (Swim),971,971,1456.5
Hoy,18/08/2002,Green Crab,1062,1062,531
Hoy,18/08/2002,Lobsters,977,977,7816
Hoy,18/08/2002,Nephrops (Norway Lobster),397.8,397.8,2202.01
Hoy,18/08/2002,Queen Scallops,280.1,280.1,307.01
Hoy,15/09/2002,Crabs (C.P.Mixed Sexes),518,518,466.2
Hoy,15/09/2002,Crabs - Velvet (Swim),1162,1162,1684.9
Hoy,15/09/2002,Green Crab,960,960,480
Hoy,15/09/2002,Lobsters,358,358,3222
Hoy,15/09/2002,Queen Scallops,2399.9,2399.9,2141.01
Hoy,06/10/2002,Cockles,1698,1698,1188.25
Hoy,06/10/2002,Crabs - Velvet (Swim),51,51,58.65
Hoy,06/10/2002,Green Crab,51,51,25.5
Hoy,06/10/2002,Lobsters,1,1,11
Hoy,06/10/2002,Periwinkles,491.8,491.8,571.25
Hoy,06/10/2002,Queen Scallops,580,580,649
Hoy,13/10/2002,Crabs (C.P.Mixed Sexes),1820,1820,1641.9
Hoy,13/10/2002,Crabs - Velvet (Swim),1033,1033,1187.95
Hoy,13/10/2002,Green Crab,2567,2567,1283.5
Hoy,13/10/2002,Lobsters,421.1,421.1,4779.5
Hoy,17/11/2002,Crabs (C.P.Mixed Sexes),3644,3644,3279.6
Hoy,17/11/2002,Crabs - Velvet (Swim),2517,2517,4404.75
Hoy,17/11/2002,Green Crab,3781,3781,1890.5
Hoy,17/11/2002,Lobsters,644,644,10948
Hoy,15/12/2002,Crabs (C.P.Mixed Sexes),9581,9581,8689.36
Hoy,15/12/2002,Crabs - Velvet (Swim),4076,4076,8152
Hoy,15/12/2002,Green Crab,2681,2681,1340.5
Hoy,15/12/2002,Lobsters,659,659,13981
Hoy,19/01/2003,Crabs (C.P.Mixed Sexes),3236.1,3236.1,3318.11
Hoy,19/01/2003,Crabs - Velvet (Swim),1059,1059,1535.55
Hoy,19/01/2003,Green Crab,1044,1044,522
Hoy,19/01/2003,Lobsters,137.9,137.9,2261.5
Hoy,09/02/2003,Crabs (C.P.Mixed Sexes),3182,3182,3495.43
Hoy,09/02/2003,Crabs - Velvet (Swim),1115,1115,1951.25
Hoy,09/02/2003,Green Crab,786,786,393
Hoy,09/02/2003,Lobsters,121,121,2085.01
Hoy,23/03/2003,Crabs (C.P.Mixed Sexes),1342.1,1342.1,1268.82
Hoy,23/03/2003,Crabs - Velvet (Swim),1135,1135,1823.21
Hoy,23/03/2003,Green Crab,1098,1098,549
Hoy,23/03/2003,Lobsters,97,97,1725
Hoy,20/04/2003,Crabs (C.P.Mixed Sexes),2825,2825,2542.5
Hoy,20/04/2003,Crabs - Velvet (Swim),1289,1289,1933.5
Hoy,20/04/2003,Green Crab,1006,1006,503
Hoy,20/04/2003,Lobsters,224,224,3136
Hoy,18/05/2003,Crabs (C.P.Mixed Sexes),2733,2733,3061
Hoy,18/05/2003,Crabs - Velvet (Swim),2141,2141,3109.3
Hoy,18/05/2003,Green Crab,934,934,467
Hoy,18/05/2003,Lobsters,478,478,4751
Hoy,08/06/2003,Cockles,452,452,368
Hoy,08/06/2003,Crabs (C.P.Mixed Sexes),1440,1440,1329
Hoy,08/06/2003,Crabs - Velvet (Swim),545.1,545.1,783.75
Hoy,08/06/2003,Lobsters,203,203,2008
Hoy,08/06/2003,Periwinkles,1636,1636,1685
Hoy,08/06/2003,Whelks,2415,2415,1208
Hoy,06/07/2003,Crabs (C.P.Mixed Sexes),1708,1708,1464
Hoy,06/07/2003,Crabs - Velvet (Swim),217,217,313.55
Hoy,06/07/2003,Green Crab,630,630,315
Hoy,06/07/2003,Lobsters,147.8,147.8,1312.84
Hoy,20/07/2003,Crabs (C.P.Mixed Sexes),2529,2529,2175.5
Hoy,20/07/2003,Crabs - Velvet (Swim),516,516,748.2
Hoy,20/07/2003,Lobsters,295.1,295.1,2622
Hoy,17/08/2003,Crabs (C.P.Mixed Sexes),859,859,859
Hoy,17/08/2003,Crabs - Velvet (Swim),743,743,1040.2
Hoy,17/08/2003,Lobsters,937,937,7964.5
Hoy,17/08/2003,Nephrops (Norway Lobster),100,100,927.01
Hoy,21/09/2003,Crabs (C.P.Mixed Sexes),2526,2526,2460
Hoy,21/09/2003,Crabs - Velvet (Swim),2325,2325,3022.5
Hoy,21/09/2003,Green Crab,1111,1111,555.5
Hoy,21/09/2003,Lobsters,351,351,4125
Hoy,19/10/2003,Crabs (C.P.Mixed Sexes),10630,10630,10166.01
Hoy,19/10/2003,Crabs - Velvet (Swim),1856,1856,2320
Hoy,19/10/2003,Green Crab,1611,1611,805.5
Hoy,19/10/2003,Lobsters,514.9,514.9,6933.51
Hoy,16/11/2003,Crabs (C.P.Mixed Sexes),9394,9394,9118
Hoy,16/11/2003,Crabs - Velvet (Swim),1773,1773,2482.2
Hoy,16/11/2003,Green Crab,1144,1144,572
Hoy,16/11/2003,Lobsters,207,207,3392.5
Hoy,14/12/2003,Crabs (C.P.Mixed Sexes),4169.9,4169.9,5706.01
Hoy,14/12/2003,Crabs - Velvet (Swim),4386,4386,8772
Hoy,14/12/2003,Green Crab,2260,2260,1130
Hoy,14/12/2003,Lobsters,314.9,314.9,5846.5
Hoy,18/01/2004,Crabs (C.P.Mixed Sexes),2619.9,2619.9,2638.5
Hoy,18/01/2004,Crabs - Velvet (Swim),1273,1273,1909.5
Hoy,18/01/2004,Green Crab,972,972,486
Hoy,18/01/2004,Lobsters,41,41,643
Hoy,15/02/2004,Cockles,155,155,155
Hoy,15/02/2004,Crabs (C.P.Mixed Sexes),5916,5916,5854.01
Hoy,15/02/2004,Crabs - Velvet (Swim),1721,1721,2581.5
Hoy,15/02/2004,Green Crab,1273,1273,636.5
Hoy,15/02/2004,Lobsters,75.6,75.6,1165.35
Hoy,15/02/2004,Periwinkles,2450,2450,3393
Hoy,07/03/2004,Crabs (C.P.Mixed Sexes),445,445,625
Hoy,07/03/2004,Crabs - Velvet (Swim),389,389,680.75
Hoy,07/03/2004,Green Crab,711,711,355.5
Hoy,07/03/2004,Lobsters,11.8,11.8,183.6
Hoy,11/04/2004,Crabs (C.P.Mixed Sexes),1009.1,1009.1,1285.99
Hoy,11/04/2004,Crabs - Velvet (Swim),478,478,860.4
Hoy,11/04/2004,Green Crab,585,585,292.5
Hoy,11/04/2004,Lobsters,40.6,40.6,469.8
Hoy,25/04/2004,Crabs (C.P.Mixed Sexes),3743,3743,3368.5
Hoy,25/04/2004,Crabs - Velvet (Swim),148,148,201.4
Hoy,25/04/2004,Green Crab,22,22,11
Hoy,25/04/2004,Lobsters,187,187,1732
Hoy,16/05/2004,Crabs (C.P.Mixed Sexes),1015,1015,913.5
Hoy,16/05/2004,Crabs - Velvet (Swim),1315,1315,2498.5
Hoy,16/05/2004,Green Crab,279,279,139.5
Hoy,16/05/2004,Lobsters,119.5,119.5,956
Hoy,06/06/2004,Cockles,71,71,71
Hoy,06/06/2004,Crabs (C.P.Mixed Sexes),514,514,415
Hoy,06/06/2004,Crabs - Velvet (Swim),65,65,87.6
Hoy,06/06/2004,Green Crab,169,169,84.5
Hoy,06/06/2004,Lobsters,32,32,254
Hoy,06/06/2004,Nephrops (Norway Lobster),575,575,1208
Hoy,06/06/2004,Periwinkles,1106,1106,1196
Hoy,06/06/2004,Razor Clam,35,35,88
Hoy,13/06/2004,Crabs (C.P.Mixed Sexes),370,370,333
Hoy,13/06/2004,Crabs - Velvet (Swim),685,685,959
Hoy,13/06/2004,Green Crab,252,252,126
Hoy,13/06/2004,Lobsters,74.7,74.7,597.6
Hoy,13/06/2004,Nephrops (Norway Lobster),90.9,90.9,540
Hoy,11/07/2004,Crabs (C.P.Mixed Sexes),2126,2126,1579.6
Hoy,11/07/2004,Crabs - Velvet (Swim),752,752,1021.4
Hoy,11/07/2004,Green Crab,369,369,147.6
Hoy,11/07/2004,Lobsters,385.6,385.6,3261.65
Hoy,11/07/2004,Nephrops (Norway Lobster),58,58,494
Hoy,01/08/2004,Crabs (C.P.Mixed Sexes),2576.2,2576.2,1889.02
Hoy,01/08/2004,Crabs - Velvet (Swim),1638.4,1638.4,2421.6
Hoy,01/08/2004,Green Crab,216,216,88.4
Hoy,01/08/2004,Lobsters,404.3,404.3,3541.65
Hoy,15/08/2004,Crabs (C.P.Mixed Sexes),2455,2455,2130.05
Hoy,15/08/2004,Crabs - Velvet (Swim),1327,1327,1832.2
Hoy,15/08/2004,Lobsters,1150.5,1150.5,9807.5
Hoy,12/09/2004,Crabs (C.P.Mixed Sexes),3524.1,3524.1,3078.3
Hoy,12/09/2004,Crabs - Velvet (Swim),372.8,372.8,473.8
Hoy,12/09/2004,Green Crab,495,495,198
Hoy,12/09/2004,Lobsters,473.5,473.5,4261.86
Hoy,19/09/2004,Crabs (C.P.Mixed Sexes),985.1,985.1,947.4
Hoy,19/09/2004,Crabs - Velvet (Swim),2225,2225,2883.7
Hoy,19/09/2004,Green Crab,936,936,468
Hoy,19/09/2004,Lobsters,129.2,129.2,1176.96
Hoy,17/10/2004,Crabs (C.P.Mixed Sexes),4594,4594,3791.27
Hoy,17/10/2004,Crabs - Velvet (Swim),2705,2705,3516.5
Hoy,17/10/2004,Green Crab,1341,1341,670.5
Hoy,17/10/2004,Lobsters,138,138,1700.79
Hoy,07/11/2004,Crabs (C.P.Mixed Sexes),738,738,663
Hoy,07/11/2004,Crabs - Velvet (Swim),526,526,927
Hoy,07/11/2004,Green Crab,321,321,160.5
Hoy,07/11/2004,Lobsters,57.1,57.1,940.92
Hoy,12/12/2004,Crabs (C.P.Mixed Sexes),4273,4273,4968.72
Hoy,12/12/2004,Crabs - Velvet (Swim),978,978,1733.8
Hoy,12/12/2004,Green Crab,188,188,94
Hoy,12/12/2004,Lobsters,166.5,166.5,2936.75
Hoy,19/12/2004,Crabs (C.P.Mixed Sexes),1527,1527,2485.78
Hoy,19/12/2004,Crabs - Velvet (Swim),4476,4476,10502.69
Hoy,19/12/2004,Green Crab,1377,1377,688.5
Hoy,19/12/2004,Lobsters,39.7,39.7,681.96
Hoy,06/02/2005,Crabs (C.P.Mixed Sexes),1003,1003,934.25
Hoy,06/02/2005,Crabs - Velvet (Swim),333,333,539.46
Hoy,06/02/2005,Green Crab,117,117,58.5
Hoy,06/02/2005,Lobsters,33.3,33.3,478.52
Hoy,06/03/2005,Crabs (C.P.Mixed Sexes),4683,4683,4711.89
Hoy,06/03/2005,Crabs - Velvet (Swim),463,463,740.8
Hoy,06/03/2005,Green Crab,72,72,36
Hoy,06/03/2005,Lobsters,111.8,111.8,1654.67
Hoy,10/04/2005,Crabs (C.P.Mixed Sexes),4028,4028,3856.64
Hoy,10/04/2005,Crabs - Velvet (Swim),889,889,1502.41
Hoy,10/04/2005,Green Crab,54,54,27
Hoy,10/04/2005,Lobsters,190.7,190.7,2781.68
Hoy,22/05/2005,Crabs (C.P.Mixed Sexes),2419.1,2419.1,2223.8
Hoy,22/05/2005,Crabs - Velvet (Swim),1437,1437,2138.52
Hoy,22/05/2005,Green Crab,45,45,22.5
Hoy,22/05/2005,Lobsters,246.3,246.3,2316.62
Hoy,12/06/2005,Crabs (C.P.Mixed Sexes),959.1,959.1,874.52
Hoy,12/06/2005,Crabs - Velvet (Swim),566,566,803.84
Hoy,12/06/2005,Green Crab,351,351,140.4
Hoy,12/06/2005,Lobsters,104.6,104.6,936.76
Hoy,24/07/2005,Crabs (C.P.Mixed Sexes),1697,1697,1438.66
Hoy,24/07/2005,Crabs - Velvet (Swim),1303,1303,1696.46
Hoy,24/07/2005,Green Crab,792,792,316.8
Hoy,24/07/2005,Lobsters,239.9,239.9,2069.64
Hoy,24/07/2005,Nephrops (Norway Lobster),269.6,269.6,2453.99
Hoy,07/08/2005,Crabs (C.P.Mixed Sexes),3844.1,3844.1,2958.59
Hoy,07/08/2005,Crabs - Velvet (Swim),645,645,930
Hoy,07/08/2005,Green Crab,316,316,158
Hoy,07/08/2005,Lobsters,309.5,309.5,2851.92
Hoy,18/09/2005,Crabs (C.P.Mixed Sexes),1356,1356,1235.97
Hoy,18/09/2005,Crabs - Velvet (Swim),608,608,515.17
Hoy,18/09/2005,Green Crab,549,549,282.15
Hoy,18/09/2005,Lobsters,69.8,69.8,636.28
Hoy,18/09/2005,Nephrops (Norway Lobster),162.9,162.9,577.41
Hoy,16/10/2005,Crabs (C.P.Mixed Sexes),5644.9,5644.9,6519.14
Hoy,16/10/2005,Crabs - Velvet (Swim),1935,1935,3508.11
Hoy,16/10/2005,Green Crab,1278,1278,712.69
Hoy,16/10/2005,Lobsters,59.1,59.1,851.65
Hoy,13/11/2005,Crabs (C.P.Mixed Sexes),7060,7060,8153.23
Hoy,13/11/2005,Crabs - Velvet (Swim),755,755,1368.8
Hoy,13/11/2005,Green Crab,288,288,160.6
Hoy,13/11/2005,Lobsters,156.2,156.2,2254.34
Hoy,20/11/2005,Crabs - Velvet (Swim),539,539,977.19
Hoy,20/11/2005,Green Crab,990,990,552.08
Hoy,20/11/2005,Lobsters,4,4,57.76
Hoy,20/11/2005,Nephrops (Norway Lobster),73.7,73.7,276.08
Hoy,20/11/2005,Scallops,425,425,751.27
Hoy,11/12/2005,Crabs (C.P.Mixed Sexes),4251,4251,4909.26
Hoy,11/12/2005,Crabs - Velvet (Swim),2183,2183,3957.72
Hoy,11/12/2005,Green Crab,869,869,484.61
Hoy,11/12/2005,Lobsters,220,220,3176.75
Hoy,15/01/2006,Crabs (C.P.Mixed Sexes),202,202,232.06
Hoy,15/01/2006,Crabs - Velvet (Swim),492,492,834.12
Hoy,15/01/2006,Green Crab,179,179,80.55
Hoy,15/01/2006,Lobsters,4,4,60
Hoy,15/01/2006,Scallops,2280,2280,4748.13
Hoy,22/01/2006,Crabs (C.P.Mixed Sexes),1951,1951,2241.42
Hoy,22/01/2006,Crabs - Velvet (Swim),564,564,717
Hoy,22/01/2006,Green Crab,180,180,81
Hoy,22/01/2006,Lobsters,46.3,46.3,717.05
Hoy,22/01/2006,Scallops,1380,1380,2023.92
Hoy,29/01/2006,Crabs (C.P.Mixed Sexes),182,182,209.09
Hoy,29/01/2006,Crabs - Velvet (Swim),452,452,665
Hoy,29/01/2006,Green Crab,167,167,75.15
Hoy,29/01/2006,Lobsters,68.4,68.4,1026
Hoy,29/01/2006,Periwinkles,105,105,130.72
Hoy,29/01/2006,Scallops,870,870,1740.23
Hoy,05/02/2006,Crabs (C.P.Mixed Sexes),155,155,178.07
Hoy,05/02/2006,Crabs - Velvet (Swim),377,377,560.31
Hoy,05/02/2006,Green Crab,125,125,56.25
Hoy,05/02/2006,Scallops,930,930,1863.92
Hoy,12/02/2006,Crabs (C.P.Mixed Sexes),1132,1132,1300.5
Hoy,12/02/2006,Crabs - Velvet (Swim),407,407,593.48
Hoy,12/02/2006,Green Crab,190,190,85.5
Hoy,12/02/2006,Lobsters,2,2,30
Hoy,12/02/2006,Periwinkles,232,232,288.83
Hoy,12/02/2006,Scallops,1008,1008,1478.34
Hoy,19/02/2006,Crabs (C.P.Mixed Sexes),1524,1524,1750.85
Hoy,19/02/2006,Crabs - Velvet (Swim),534,534,799.41
Hoy,19/02/2006,Green Crab,185,185,83.25
Hoy,19/02/2006,Lobsters,58.7,58.7,879
Hoy,19/02/2006,Periwinkles,15.5,15.5,19.3
Hoy,19/02/2006,Scallops,960,960,1633.83
Hoy,26/02/2006,Crabs (C.P.Mixed Sexes),1303,1303,1496.96
Hoy,26/02/2006,Crabs - Velvet (Swim),276,276,13512.11
Hoy,26/02/2006,Green Crab,156,156,70.2
Hoy,26/02/2006,Lobsters,73.1,73.1,1096.2
Hoy,26/02/2006,Scallops,70,70,102.66
Hoy,05/03/2006,Crabs (C.P.Mixed Sexes),213,213,244.71
Hoy,05/03/2006,Crabs - Velvet (Swim),214,214,398.37
Hoy,05/03/2006,Green Crab,25,25,12.43
